R-Effective County Model Time Series for Los Angeles,,,,,,,,,
COVID Assessment Tool - Downloaded on 2020-08-27,,,,,,,,,
Date,CovidActNow,covid19-projections.com,UCLA,LEMMA,JHU,Stanford,UCSF,Harvard,Ensemble
2020-03-01,0,2.33,0,0,2.82,1.84,0,0,2.34
2020-03-02,0,2.31,0,0,2.82,1.84,0,0,2.32
2020-03-03,0,2.29,0,0,2.82,1.84,0,0,2.31
2020-03-04,0,2.26,0,0,2.82,1.84,0.43,0,2.22
2020-03-05,0,2.22,0,0,2.82,1.84,0.47,0,2.12
2020-03-06,0,2.18,0,0,2.82,1.84,0.51,0,2.03
2020-03-07,0,2.12,0,0,2.82,1.84,0.56,0,2.01
2020-03-08,0,2.05,0,0,2.82,1.84,0,0,2.01
2020-03-09,0,1.98,0,0,2.82,1.84,0.66,0,1.98
2020-03-10,0,1.89,0,0,2.82,1.84,0.71,0,1.94
2020-03-11,0,1.8,0,0,2.82,1.84,0.76,0,1.86
2020-03-12,0,1.7,0,0,2.82,1.84,0.82,0,1.82
2020-03-13,0,1.6,0,0,2.18,1.83,0.88,0,1.77
2020-03-14,0,1.51,0,0,2.18,1.82,0.93,2.61,1.77
2020-03-15,0,1.42,0,3.52,2.18,1.78,0.99,2.49,1.84
2020-03-16,0,1.34,0,3.52,2.18,1.72,1.05,1.82,1.85
2020-03-17,0,1.27,0,3.51,2.18,1.62,1.1,2.29,1.88
2020-03-18,0,1.21,0,3.49,2.18,1.49,1.16,2.31,1.83
2020-03-19,0,1.16,0,3.45,2.18,1.38,1.21,2.14,1.83
2020-03-20,0,1.12,0,3.37,1.51,1.29,1.26,2.08,1.66
2020-03-21,0,1.09,0,3.22,1.51,1.22,1.3,2.75,1.52
2020-03-22,0,1.06,2.07,2.95,1.51,1.18,1.34,2.41,1.44
2020-03-23,0,1.05,2.01,2.46,1.51,1.16,1.37,1.86,1.48
2020-03-24,0,1.03,1.96,1.83,1.51,1.15,1.39,1.91,1.51
2020-03-25,0,1.02,1.91,1.37,1.51,1.14,1.41,2.22,1.48
2020-03-26,1.74,1.02,1.86,1.19,1.51,1.13,1.42,2.18,1.46
2020-03-27,1.69,1.01,1.81,1.11,1.51,1.13,1.42,2.02,1.45
2020-03-28,1.63,1.01,1.76,1.06,1.51,1.12,1.41,1.74,1.47
2020-03-29,1.57,1.01,1.71,1.04,1.51,1.12,1.4,1.66,1.46
2020-03-30,1.52,1,1.66,1.02,1.51,1.12,1.39,1.49,1.45
2020-03-31,1.46,1,1.62,1.01,1.51,1.12,1.36,1.79,1.44
2020-04-01,1.41,1,1.58,1,1.51,1.12,1.34,1.48,1.41
2020-04-02,1.35,1,1.53,1,1.51,1.12,1.31,1.34,1.37
2020-04-03,1.31,1,1.49,0.99,1.51,1.12,1.29,1.3,1.33
2020-04-04,1.27,1,1.46,0.98,1.51,1.12,1.26,1.19,1.28
2020-04-05,1.23,1,1.42,0.97,1.51,1.12,1.24,1.14,1.24
2020-04-06,1.2,1,1.39,0.97,1.51,1.12,1.22,1.11,1.19
2020-04-07,1.17,1,1.36,0.97,1.51,1.12,1.2,0.83,1.16
2020-04-08,1.15,1,1.33,0.96,1.51,1.12,1.19,0.9,1.15
2020-04-09,1.14,1,1.3,0.96,1.51,1.12,1.19,0.94,1.14
2020-04-10,1.14,1,1.28,0.96,1.51,1.11,1.19,0.91,1.13
2020-04-11,1.13,1,1.26,0.96,1.51,1.11,1.19,0.91,1.13
2020-04-12,1.14,1,1.24,0.96,1.51,1.11,1.2,0.95,1.12
2020-04-13,1.14,1,1.22,0.95,1.51,1.11,1.21,1.15,1.13
2020-04-14,1.15,1,1.21,0.95,1.51,1.11,1.21,1.08,1.13
2020-04-15,1.16,1,1.2,0.94,1.51,1.11,1.22,1.35,1.15
2020-04-16,1.16,1,1.18,0.93,1.51,1.11,1.22,1.47,1.16
2020-04-17,1.17,0.99,1.17,0.92,1.51,1.11,1.22,1.55,1.17
2020-04-18,1.17,0.99,1.15,0.91,1.51,1.11,1.22,1.57,1.17
2020-04-19,1.17,0.99,1.14,0.9,1.51,1.11,1.21,1.5,1.16
2020-04-20,1.17,0.99,1.13,0.9,1.51,1.11,1.2,1.36,1.16
2020-04-21,1.16,0.99,1.13,0.89,1.51,1.11,1.18,1.28,1.15
2020-04-22,1.16,0.99,1.12,0.89,1.51,1.11,1.17,1.11,1.14
2020-04-23,1.14,0.99,1.11,0.89,1.51,1.11,1.15,0.97,1.12
2020-04-24,1.13,0.99,1.1,0.89,1.51,1.11,1.14,1.01,1.11
2020-04-25,1.12,0.99,1.1,0.89,1.51,1.1,1.12,0.96,1.1
2020-04-26,1.1,0.99,1.09,0.89,1.51,1.1,1.11,0.97,1.1
2020-04-27,1.08,0.99,1.09,0.89,1.51,1.1,1.1,0.99,1.09
2020-04-28,1.07,0.99,1.08,0.89,1.51,1.1,1.09,1.06,1.08
2020-04-29,1.05,0.99,1.07,0.89,1.51,1.1,1.08,0.99,1.07
2020-04-30,1.04,0.99,1.07,0.89,1.51,1.1,1.07,1.17,1.07
2020-05-01,1.03,0.99,1.07,0.88,1.51,1.1,1.06,1.03,1.06
2020-05-02,1.02,0.99,1.06,0.88,1.51,1.1,1.06,1.03,1.05
2020-05-03,1.01,0.99,1.06,0.88,1.51,1.1,1.05,0.99,1.04
2020-05-04,1.01,0.99,1.06,0.88,1.51,1.1,1.05,1.04,1.04
2020-05-05,1.01,0.99,1.06,0.88,1.51,1.1,1.04,0.98,1.03
2020-05-06,1.01,0.99,1.06,0.88,1.51,1.1,1.04,0.99,1.03
2020-05-07,1.01,1,1.06,0.88,1.51,1.09,1.04,0.88,1.02
2020-05-08,1.01,1,1.06,0.88,1.21,1.09,1.04,0.99,1.02
2020-05-09,1.01,1,1.06,0.89,1.21,1.09,1.04,1,1.03
2020-05-10,1.02,1,1.06,0.89,1.21,1.09,1.05,1.01,1.03
2020-05-11,1.03,1,1.06,0.89,1.21,1.09,1.05,1.03,1.03
2020-05-12,1.04,1.01,1.07,0.9,1.21,1.09,1.06,1.06,1.04
2020-05-13,1.04,1.01,1.07,0.91,1.21,1.09,1.06,1.02,1.05
2020-05-14,1.05,1.01,1.07,0.92,1.21,1.09,1.07,1.05,1.06
2020-05-15,1.06,1.02,1.07,0.93,1.21,1.09,1.07,1.04,1.06
2020-05-16,1.07,1.03,1.08,0.94,1.21,1.09,1.08,1.07,1.07
2020-05-17,1.08,1.03,1.08,0.96,1.21,1.09,1.08,1.08,1.07
2020-05-18,1.09,1.04,1.08,0.97,1.21,1.08,1.09,1.06,1.08
2020-05-19,1.09,1.05,1.08,0.97,1.21,1.08,1.1,1.09,1.08
2020-05-20,1.1,1.06,1.09,0.97,1.21,1.08,1.1,1.15,1.09
2020-05-21,1.1,1.07,1.09,0.98,1.21,1.08,1.1,1.22,1.09
2020-05-22,1.11,1.07,1.09,0.98,1.21,1.08,1.11,1.11,1.1
2020-05-23,1.11,1.08,1.09,0.98,1.21,1.08,1.11,1.08,1.09
2020-05-24,1.11,1.09,1.09,0.98,1.21,1.08,1.1,1.17,1.09
2020-05-25,1.11,1.1,1.09,0.99,1.21,1.08,1.1,1.27,1.1
2020-05-26,1.1,1.11,1.09,1,1.18,1.07,1.1,1.25,1.1
2020-05-27,1.1,1.12,1.09,1.01,1.18,1.07,1.09,1.19,1.1
2020-05-28,1.09,1.12,1.09,1.02,1.18,1.07,1.09,1.07,1.09
2020-05-29,1.08,1.13,1.08,1.03,1.18,1.07,1.08,1.07,1.09
2020-05-30,1.08,1.13,1.08,1.05,1.18,1.07,1.07,1.1,1.08
2020-05-31,1.07,1.13,1.08,1.07,1.18,1.07,1.07,1.03,1.08
2020-06-01,1.06,1.14,1.08,1.08,1.18,1.07,1.06,0.94,1.07
2020-06-02,1.05,1.14,1.08,1.09,1.18,1.07,1.06,0.98,1.07
2020-06-03,1.05,1.14,1.08,1.09,1.18,1.06,1.05,0.97,1.07
2020-06-04,1.04,1.14,1.08,1.1,1.18,1.06,1.05,0.98,1.07
2020-06-05,1.04,1.14,1.08,1.1,1.18,1.06,1.05,1,1.07
2020-06-06,1.04,1.14,1.07,1.1,1.18,1.06,1.05,1.05,1.07
2020-06-07,1.04,1.14,1.07,1.1,1.18,1.06,1.05,1.06,1.07
2020-06-08,1.04,1.14,1.07,1.11,1.18,1.06,1.06,1.07,1.07
2020-06-09,1.05,1.14,1.07,1.13,1.18,1.06,1.06,1,1.07
2020-06-10,1.05,1.14,1.07,1.16,1.18,1.05,1.07,0.99,1.07
2020-06-11,1.06,1.14,1.07,1.18,1.18,1.05,1.07,1.01,1.07
2020-06-12,1.07,1.14,1.07,1.2,1.42,1.05,1.08,1.11,1.08
2020-06-13,1.08,1.14,1.07,1.21,1.42,1.05,1.09,1,1.08
2020-06-14,1.09,1.14,1.07,1.23,1.42,1.05,1.1,0.97,1.09
2020-06-15,1.1,1.14,1.08,1.24,1.42,1.06,1.11,1.04,1.09
2020-06-16,1.11,1.13,1.08,1.24,1.42,1.06,1.11,1.11,1.1
2020-06-17,1.12,1.13,1.08,1.24,1.42,1.07,1.12,1.27,1.11
2020-06-18,1.12,1.13,1.08,1.25,1.42,1.08,1.13,1.32,1.12
2020-06-19,1.13,1.12,1.08,1.25,1.42,1.08,1.14,1.15,1.13
2020-06-20,1.14,1.12,1.08,1.24,1.42,1.09,1.14,1.18,1.13
2020-06-21,1.14,1.11,1.08,1.24,1.42,1.09,1.14,1.19,1.14
2020-06-22,1.14,1.11,1.09,1.24,1.42,1.09,1.15,1.14,1.14
2020-06-23,1.15,1.1,1.09,1.23,1.42,1.09,1.15,1.18,1.14
2020-06-24,1.14,1.1,1.09,1.22,1.42,1.09,1.15,1.18,1.15
2020-06-25,1.14,1.09,1.09,1.19,1.42,1.09,1.15,1.17,1.15
2020-06-26,1.14,1.08,1.09,1.15,1.42,1.09,1.15,1.18,1.15
2020-06-27,1.14,1.07,1.1,1.1,1.42,1.09,1.14,1.15,1.14
2020-06-28,1.13,1.07,1.1,1.05,1.38,1.08,1.14,1,1.12
2020-06-29,1.13,1.06,1.11,1,1.38,1.08,1.14,0.86,1.1
2020-06-30,1.12,1.05,1.11,0.98,1.38,1.08,1.14,1.22,1.1
2020-07-01,1.12,1.04,1.12,0.96,1.38,1.08,1.13,1.08,1.1
2020-07-02,1.11,1.04,1.13,0.95,1.38,1.08,1.13,1.14,1.11
2020-07-03,1.11,1.03,1.13,0.94,1.38,1.07,1.13,1.16,1.11
2020-07-04,1.1,1.02,1.14,0.94,1.38,1.07,1.13,1.1,1.11
2020-07-05,1.1,1.02,1.15,0.94,1.38,1.07,1.13,1.23,1.11
2020-07-06,1.1,1.01,1.15,0.93,1.38,1.07,1.12,1.35,1.11
2020-07-07,1.09,1.01,1.16,0.93,1.38,1.06,1.12,1.04,1.1
2020-07-08,1.09,1,1.17,0.93,1.38,1.06,1.12,1.09,1.09
2020-07-09,1.08,1,1.17,0.92,1.38,1.06,1.11,1.08,1.08
2020-07-10,1.08,0.99,1.18,0.9,1.38,1.06,1.11,1.07,1.08
2020-07-11,1.07,0.99,1.18,0.88,1.38,1.05,1.1,1.2,1.08
2020-07-12,1.06,0.98,1.18,0.86,1.38,1.05,1.09,1.18,1.08
2020-07-13,1.06,0.98,1.18,0.84,1.38,1.05,1.08,1.12,1.08
2020-07-14,1.05,0.98,1.18,0.82,1.37,1.05,1.07,1.08,1.07
2020-07-15,1.04,0.97,1.18,0.8,1.37,1.04,1.06,1.08,1.06
2020-07-16,1.03,0.97,1.17,0.79,1.37,1.04,1.04,1,1.05
2020-07-17,1.02,0.97,1.17,0.79,1.37,1.04,1.03,1.03,1.04
2020-07-18,1,0.97,1.16,0.78,1.37,1.04,1.02,0.9,1.02
2020-07-19,0.99,0.96,1.16,0.78,1.37,1.03,1.01,0.88,1.01
2020-07-20,0.98,0.96,1.15,0.78,1.37,1.03,1,0.94,1
2020-07-21,0.97,0.96,1.15,0.78,1.37,1.03,0.99,0.9,0.99
2020-07-22,0.97,0.96,1.14,0.78,1.37,1.02,0.99,0.86,0.98
2020-07-23,0.96,0.96,1.13,0.78,1.37,1.02,0.98,0.87,0.98
2020-07-24,0.95,0.96,1.12,0.78,1.37,1.02,0.98,0.98,0.98
2020-07-25,0.95,0.96,1.12,0.79,1.37,1.02,0.97,1.03,0.98
2020-07-26,0.94,0.96,1.11,0.8,1.37,1.01,0.96,1.05,0.99
2020-07-27,0.94,0.95,1.11,0.81,1.37,1.01,0.96,0.98,0.98
2020-07-28,0.94,0.95,1.1,0.81,1.37,1.01,0.95,0.96,0.97
2020-07-29,0.93,0.95,1.1,0.83,1.37,1,0.95,0.95,0.96
2020-07-30,0.93,0.95,1.09,0.83,1.37,1,0.94,0.92,0.95
2020-07-31,0.93,0.95,1.09,0.84,1.37,1,0.94,0.8,0.95
2020-08-01,0.93,0.95,1.09,0.85,1.37,1,0.94,0.86,0.95
2020-08-02,0.93,0.95,1.08,0.85,1.37,0.99,0.93,0.92,0.94
2020-08-03,0.92,0.95,1.08,0.85,1.37,0.99,0.93,0.95,0.94
2020-08-04,0.92,0.95,1.07,0.85,1.37,0.99,0.92,0.99,0.95
2020-08-05,0.92,0.95,1.07,0.85,1.37,0.99,0.92,1,0.96
2020-08-06,0.91,0.95,1.07,0.85,1.37,0.98,0.91,0.91,0.95
2020-08-07,0.91,0.95,1.06,0.85,1.37,0.98,0.9,0.98,0.95
2020-08-08,0.9,0.95,1.06,0.85,1.37,0.98,0.89,0.81,0.94
2020-08-09,0.89,0.95,1.06,0.85,1.37,0.98,0.89,0.93,0.94
2020-08-10,0.89,0.95,1.06,0.85,1.37,0.97,0.88,0.91,0.93
2020-08-11,0.88,0.95,1.06,0.85,1.37,0.97,0.87,0.88,0.93
2020-08-12,0.87,0.94,1.06,0.86,1.37,0.97,0.86,0.85,0.92
2020-08-13,0.86,0.94,1.06,0.86,1.37,0.97,0.85,0.92,0.92
2020-08-14,0.85,0.94,1.05,0.87,1.37,0.96,0.85,0.81,0.91
2020-08-15,0.84,0.94,1.05,0.87,1.37,0.96,0.84,0.94,0.93
2020-08-16,0.83,0.94,1.05,0.87,1.37,0.96,0.83,0.76,0.92
2020-08-17,0.82,0.94,1.05,0.87,1.37,0.96,0.83,0.76,0.92
2020-08-18,0.82,0.94,1.05,0.87,1.37,0.95,0.82,0.79,0.91
2020-08-19,0.81,0.94,1.05,0.87,1.37,0.95,0.81,0.82,0.91
2020-08-20,0.8,0.94,1.05,0.87,1.37,0.95,0.81,0.85,0.91
2020-08-21,0.8,0.94,1.04,0.87,1.37,0.95,0.8,0,0.92
2020-08-22,0.79,0.94,1.04,0.87,1.37,0.94,0.79,0,0.93
2020-08-23,0.79,0.94,1.04,0.87,1.37,0.94,0.79,0,0.94
2020-08-24,0.78,0.94,1.04,0.87,1.37,0.94,0.78,0,0.94
2020-08-25,0.78,0.94,1.04,0.87,1.37,0.94,0,0,0.94
Please see the Technical Notes tab of the application for data sources.,,,,,,,,,
Prepared by: California Department of Public Health - COVID Modeling Team,,,,,,,,,
